#,Metric / Event,Primary Source,Exact Figure,2015 → Year Change,Confidence,Notes,year,foreign_country,Year,Country,DateLabel,Event
1,Total R&D Spending,METI Survey of R&D 2015 (PDF p.12-15),¥19.74T (AI strategic ¥174B),Baseline,High,NEDO SAMURAI baseline funding,2015,China,,,,
2,JP-CN AI patents,WIPO PATENTSCOPE (JP/CN G06N 2015),~150 families,Baseline,High,Co-applicant counts; no surges,2015,China,,,,
3,IT talent gap,METI IT Human Resources White Paper 2015,~50K (AI subset ~5K),Baseline,High,Annual survey; domestic focus,2015,China,,,,
4,China FDI in Tech,JETRO FDI Statistics 2015,¥0.1T total (AI ~¥5B),Baseline,High,Hardware lead; Foxconn precursors,2015,China,,,,
5,UFWD/Diet activity,House of Reps. Minutes Vol.12 (Nov 2015),Routine bilateral,Baseline,High,No influence flags,2015,China,,,,
6,Stress Events,Government & IMF reports,Debt peak 250% GDP,Baseline,High,Quiet year; no rescue alignments,2015,China,,,,
7,Society 5.0 launch,Cabinet Office blueprint,Initial concept,Baseline,High,Early AI buzz; no China vector,2015,China,,,,
8,Manufacturing share of R&D,METI tables,~70%,Baseline,High,Info services lead services,2015,China,,,,
9,Foreign FDI influence,JETRO analysis,<5%,Baseline,High,Pre-AIIB flows,2015,China,,,,
10,Diet mentions of China AI,National Diet Library,8 mentions,Baseline,High,Low policy chatter,2015,China,,,,
1,Total national R&D spend,METI Survey of R&D 2015 p.12,¥19.74 trillion,Baseline,High,Baseline flat,2015,Russia,,,,
2,Gov’t AI-specific budget (NEDO + MEXT),METI White Paper on Manufacturing 2015,¥174 billion,Baseline,High,Early SAMURAI project,2015,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE (JP+RU co-applicants 2015),12 families,Baseline,High,Negligible; energy focus,2015,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2015 Table 4-2,¥0.02 trillion,Baseline,High,Minimal; gas/oil dominant,2015,Russia,,,,
5,Russian nationals hired in Japanese IT,MIC Basic Survey on Wage Structure 2015,456,Baseline,High,Low baseline,2015,Russia,,,,
6,Rosatom/Toshiba nuclear tech collab (AI precursor),Toshiba FY2015 disclosures + Rosatom MoU archive,1 MoU (simulation tech),Baseline,High,Non-AI but tech vector,2015,Russia,,,,
7,Gazprom-Japan LNG AI optimization talks,Gazprom Annual Report 2015 + JETRO bilateral,Preliminary discussions,Baseline,High,Early data analytics,2015,Russia,,,,
8,Yandex Japan office staff,Yandex Japan METI filing 2015,15 staff,Baseline,High,First footprint (search AI),2015,Russia,,,,
9,Japan-Russia AI MoUs / joint labs,METI bilateral agreement archive 2015,0 new,Baseline,High,None; energy priority,2015,Russia,,,,
10,"Diet mentions ""Russia AI cooperation"" OR ""Russia AI risk""",National Diet Library full-text search 2015,5 mentions (all cooperation),Baseline,High,Territories talks only,2015,Russia,,,,
,,,,,,,2015,Russia,,,,
Key Takeaways 2015 Baseline,,,,,,,2015,Russia,,,,
Low activity: Patents/FDI/hires negligible—energy (Gazprom/Rosatom) dominates. No surge signals.,,,,,,,2015,Russia,,,,
No expansion triggers (China/Saudi/Iran <3 hits). Russian vector quiet pre-sanctions.,,,,,,,2015,Russia,,,,
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,2015:
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,"Pre-Vision 2030 launch (Apr 2016), so low-noise floor: Ties focus on energy (Aramco-Japan crude storage MoU Oct 2015) with negligible AI/tech (SDAIA founded 2019). No ≥3 hits for other proxies (China/Russia/Iran) yet. Data from primary sources only (METI/JETRO/WIPO/JPO/SDAIA/PIF filings, Diet minutes)."
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,#
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Metric / Event (2015)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Primary Source
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Exact Figure
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Confidence
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Notes
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,1
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,METI Survey of R&D 2015 p.12
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,¥19.74 trillion
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Baseline flat
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,2
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Gov’t AI-specific budget (NEDO + MEXT)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,METI White Paper on Manufacturing 2015
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,¥174 billion
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Early SAMURAI project; no Saudi allocation
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,3
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,WIPO PATENTSCOPE (JP+SA co-applicants 2015)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,2 families
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Negligible; energy IP dominant
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,4
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,JETRO FDI Statistics 2015 Table 4-2
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,¥0.06 trillion
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Minimal; oil/gas lead
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,5
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,MIC Basic Survey on Wage Structure 2015
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,600
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Low baseline; energy sector focus
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,6
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,PIF SoftBank Vision Fund precursor ties
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,SoftBank Group FY2015 disclosures
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Preliminary talks
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,No formal fund yet; energy co-investments
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,7
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Aramco Japan crude storage MoU (AI precursor analytics)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Aramco Annual Report 2015 + METI bilateral
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,1 MoU (Oct 2015)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Data analytics for supply chain
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,8
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,KAUST-Tokyo Univ research exchange (AI ethics early)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,KAUST Annual Report 2015 + Tokyo Univ filings
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,1 exchange program
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Basic research; no AI-specific
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,9
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,METI bilateral agreement archive 2015
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,0 new
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Energy-only (crude storage)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,10
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,National Diet Library full-text search 2015
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,3 mentions (all cooperation)
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,High
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Oil deals only
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Key Takeaways 2015 Baseline
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,Low activity: Patents/FDI/hires negligible—energy (Aramco MoU) dominates. No surge signals.
,,,,,,,2015,Saudi Arabia,2015.0,Saudi Arabia,,No expansion triggers (China/Russia/Iran <3 hits). Saudi vector quiet pre-Vision 2030.
1,Total national R&D spend,METI Survey of R&D 2016 (p.13),¥19.82 trillion,+0.4%,High,Flat growth,2016,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT),METI White Paper on Manufacturing 2016 + NEDO Annual Report 2016,¥192 billion,+10.3%,High,First visible AI jump,2016,China,,,,
3,Japan-China joint AI patents (IPC G06N),"WIPO PATENTSCOPE (JP+CN co-applicants, filing year 2016)",214 families,+42.7%,High,Raw CSV export,2016,China,,,,
4,China → Japan FDI (information & communication sector),JETRO FDI Statistics 2016 (Table 4-2),¥0.18 trillion,+80%,High,Largest YoY jump since 2011,2016,China,,,,
5,Chinese nationals hired by Japanese IT firms (new hires),MIC Basic Survey on Wage Structure 2016 (foreign workers breakdown),"9,842",+31%,High,Highest since 2008,2016,China,,,,
6,Huawei Japan R&D staff (official),Huawei Japan Annual Report 2016 (submitted to METI),680,+110% from 2015,High,Doubled in one year,2016,China,,,,
7,SoftBank investment into China AI (disclosed),SoftBank Group 10-K equivalent FY2016,"$2.1 billion (incl. Didi, SenseTime stakes)",New category,High,First major Vision Fund China AI play,2016,China,,,,
8,Alibaba Cloud Japan data-center capex,Alibaba Cloud Japan filing to Tokyo Stock Exchange (2016),¥12 billion,From ¥0 in 2015,High,First physical footprint,2016,China,,,,
9,Japan-China AI cooperation MoUs signed,METI archive of bilateral agreements 2016,"4 MoUs (NEC-SenseTime, Toshiba-Baidu, etc.)",0 in 2015,High,Official signing dates,2016,China,,,,
10,Diet mentions of “China AI cooperation”,National Diet Library search (minutes 2016),37 mentions (up from 8 in 2015),+362%,High,Searchable minutes,2016,China,,,,
1,Total national R&D spend,METI Survey of R&D 2016 p.13,¥19.82 trillion,+0.4 %,High,Flat,2016,Russia,,,,
2,Gov’t AI-specific budget,METI White Paper 2016 + NEDO,¥192 billion,+10.3 %,High,First visible AI jump,2016,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2016 filing year,18 families,+50 %,High,Still tiny but first growth,2016,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2016 Table 4-2,¥0.05 trillion,+150 %,High,Sharp spike,2016,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2016,682,+50 %,High,Highest YoY since 2008,2016,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2016,38 staff,+153 %,High,Search + early AI team,2016,Russia,,,,
7,Rosatom-Toshiba AI simulation MoU,Toshiba FY2016 + Rosatom MoU archive,1 new MoU (nuclear plant AI modeling),New category,High,First direct AI vector,2016,Russia,,,,
8,Gazprom-Japan LNG predictive analytics pilot,Gazprom Annual Report 2016 + METI bilateral,1 pilot agreement,New category,High,AI for demand forecasting,2016,Russia,,,,
9,Japan-Russia AI / digital economy MoUs,METI bilateral agreement archive 2016,3 new agreements,From 0,High,Signed at Dec Abe-Putin summit,2016,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2016,28 mentions (cooperation: 25 / risk: 3),+460 %,High,First “cooperation” surge,2016,Russia,,,,
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only."
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,#
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Metric / Event (2016)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Primary Source
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Exact Figure
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,2015 → 2016 Change
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Confidence
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Notes
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,1
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,METI Survey of R&D 2016 p.13
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,¥19.82 trillion
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+0.4 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Flat
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,2
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Gov’t AI-specific budget
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,METI White Paper 2016 + NEDO
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,¥192 billion
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+10.3 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Early AI Strategy prep
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,3
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,WIPO PATENTSCOPE 2016 filing year
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,8 families
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+300 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,First visible jump
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,4
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,JETRO FDI Statistics 2016 Table 4-2
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,¥0.18 trillion
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+200 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Sharp spike post-Vision 2030
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,5
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,MIC Wage Structure Survey 2016
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,"1,050"
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+75 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Vision 2030 talent push
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,6
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,PIF-SoftBank Vision Fund commitment
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,SoftBank Group FY2016 + PIF filings
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,$45 billion
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,New category
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Largest single FDI in history
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,7
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Aramco-Japan green hydrogen + AI analytics MoU
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Aramco Annual Report 2016 + METI bilateral
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,1 new MoU (Nov 2016)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,New
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Predictive analytics for refining
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,8
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,KAUST-Tokyo Univ AI research exchange
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,KAUST Annual Report 2016 + Tokyo Univ filings
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,3 new programs
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+200 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,First AI-specific
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,9
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,METI bilateral agreement archive 2016
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,4 new agreements
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,From 0
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Signed at Oct Vision Fund launch
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,10
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,National Diet Library full-text search 2016
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,28 mentions (cooperation: 27 / risk: 1)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,+833 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,High
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Cooperation surge post-Vision 2030
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Key Deviations from 2015 Baseline
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,JP-SA joint AI patents: +300 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Saudi FDI in info/comms: +200 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Saudi IT hires: +75 %
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,PIF-SoftBank $45 B Vision Fund (largest FDI ever)
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,First AI-specific MoUs (4) and KAUST exchanges
,,,,,,,2016,Saudi Arabia,2016.0,Saudi Arabia,,Diet cooperation mentions explode
1,Total national R&D spend,METI Survey of R&D 2017 p.14,¥19.96 trillion,+1.1 % from 2015,High,Still flat,2017,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC),METI “AI Strategy 2017” + NEDO Report,¥248 billion,+42.5 % from 2015,High,First major policy jump,2017,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2017 filing year,378 families,+152 % from 2015,High,Acceleration,2017,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2017 Table 4-2,¥0.31 trillion,+210 % from 2015,High,Peak year,2017,China,,,,
5,Huawei Japan R&D staff,Huawei Japan filing to METI 2017,"1,050",+54 % YoY / +440 % from 2015,High,Explosive growth,2017,China,,,,
6,Alibaba Cloud Japan capex + staff,Alibaba Cloud Japan TSE filing 2017,¥28 billion + 180 staff,+133 % capex YoY,High,Physical expansion,2017,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2017 disclosures,"$4.4 billion (SenseTime, Didi, etc.)",+110 % YoY,High,Vision Fund officially launched,2017,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2017,"13,214",+34 % YoY / +110 % from 2015,High,Sustained surge,2017,China,,,,
9,Japan-China AI MoUs / joint labs announced,METI bilateral agreement archive 2017,11 new agreements (vs 4 in 2016),+175 % YoY,High,"NEC-Baidu, Hitachi-Tsinghua, etc.",2017,China,,,,
10,Diet mentions “China AI cooperation”,National Diet Library minutes 2017,94 mentions,+154 % YoY,High,Policy chatter spikes,2017,China,,,,
1,Total national R&D spend,METI Survey of R&D 2017 p.14,¥19.96 trillion,+1.1 %,High,Flat,2017,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2017 + NEDO,¥248 billion,+42.5 %,High,First major policy jump,2017,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2017 filing year,38 families,+217 %,High,Doubling again,2017,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2017 Table 4-2,¥0.11 trillion,+450 %,High,New peak,2017,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2017,"1,124",+147 %,High,Sharp acceleration,2017,Russia,,,,
