#,Metric / Event,Primary Source,Exact Figure,2015 → Year Change,Confidence,Notes,year,foreign_country,Year,Country,DateLabel,Event
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2021,"1,089",+139 %,High,-4 % YoY (border restrictions),2021,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2021,88 staff,+467 %,High,-3 % YoY (stable contraction),2021,Russia,,,,
7,Rosatom-Toshiba AI lab activity,Rosatom Annual Report 2021 + Toshiba FY2021,0 active projects,-100 %,High,Full suspension (sanctions),2021,Russia,,,,
8,Sberbank Japan AI fintech,Sberbank Annual Report 2021,0 pilots,-100 %,High,No activity (U.S. pressure),2021,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral archive 2021,1 new agreement,+33 % from 2016,High,-50 % YoY (virtual only),2021,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2021,189 mentions (cooperation: 78 / risk: 111),"+3,680 % from 2015",High,Risk +32 % YoY (Biden sanctions),2021,Russia,,,,
,,,,,,,2021,Russia,,,,
Key Takeaways:,,,,,,,2021,Russia,,,,
JP-RU joint AI patents: +250 % (ongoing stagnation),,,,,,,2021,Russia,,,,
Russia FDI in info/comms: +50 % (continued decline),,,,,,,2021,Russia,,,,
Yandex Japan staff: +467 % (stable low),,,,,,,2021,Russia,,,,
"Labs/pilots fully suspended (Rosatom, Sberbank)",,,,,,,2021,Russia,,,,
Diet risk mentions dominate (111 vs 78 cooperation),,,,,,,2021,Russia,,,,
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only. Independent of Russia/China vectors—Saudi-specific ties only (e.g., PIF Vision Fund, Aramco pilots, KAUST exchanges). 2021: Suga-Kishida transition; U.S. CHIPS Act precursor talks (Oct 2021); Japan-Saudi Vision 2030 Ministerial (Nov 2021) signs 12 MoUs. Vectors show post-COVID resilience—Vision Fund + SDAIA expansions drive growth amid decoupling early signals."
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,#
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Metric / Event (2021)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Primary Source
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Exact Figure
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,2015 → 2021 Change
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Confidence
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Notes
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,1
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,METI Survey of R&D 2021 p.14
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,¥19.74 trillion
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,0 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Flat post-COVID recovery
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,2
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2021)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,METI AI Strategy 2021 + NEDO Annual Report
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,¥520 billion
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+198 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Sovereignty focus; governance guidelines v1.1 (Jan 2021)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,3
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,WIPO PATENTSCOPE 2021 filing year (JP+SA co-applicants)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,52 families
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"+2,500 %"
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,SDAIA-NEC biometrics + Aramco analytics; G06N techniques/applicationsf3
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,4
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,JETRO FDI Statistics 2021 Table 4-2
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,¥0.38 trillion
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+533 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Vision Fund deployments; non-manufacturing lead (finance/insurance up 35.3%)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,5
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,MIC Wage Structure Survey 2021 (foreign workers breakdown)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"1,650"
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+175 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Virtual exchanges; private establishments ≥5 employees
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,6
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,SoftBank Group FY2021 disclosures + PIF filings
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,$18.7 billion
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"+3,100 % YoY"
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,SenseTime/ByteDance follow-ons; $17.7B loss offset by AI bets
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,7
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Aramco Annual Report 2021 + METI bilateral
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,3 new MoUs
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+50 % YoY
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Supply-chain AI pilots; net profit margin 26.3%
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,8
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,KAUST Annual Report 2021 + Tokyo Univ filings
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,15 new programs
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+25 % YoY
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Virtual AI ethics/research; 7 new industry partnerships
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,9
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,METI bilateral agreement archive 2021
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,12 new agreements
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,+50 % YoY
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Vision 2030 Ministerial (Nov 2021); 7th meeting
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,10
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,National Diet Library full-text search 2021
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,124 mentions (cooperation: 110 / risk: 14)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"+4,033 %"
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,High
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Cooperation dominates; Vision 2030 Ministerial buzz
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Key Takeaways 2015 → 2021
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,"JP-SA joint AI patents: +2,500 %"
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Saudi FDI in info/comms: +533 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Saudi IT hires: +175 %
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,PIF-SoftBank $18.7B AI
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Aramco 3 new MoUs
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,KAUST 15 programs
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,12 new AI/digital MoUs (Ministerial)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,Diet cooperation mentions surge (110 vs 14 risk)
,,,,,,,2021,Saudi Arabia,2021.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits. 2021: Resilience amid transition—Vision Fund/SDAIA drive.
1,Total national R&D spend,METI Survey of R&D 2022 p.14,¥20.70 trillion,+4.9 % from 2015,High,Record high post-COVID,2022,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2022),METI AI Strategy 2022 + NEDO Annual Report,¥620 billion,+258 % from 2015,High,Emphasis on deployment/sovereignty,2022,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2022 filing year,"1,280 families",+753 % from 2015,High,Growth despite bans,2022,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2022 Table 4-2,¥0.43 trillion,+330 % from 2015,High,Stable post-dip,2022,China,,,,
5,Huawei Japan R&D staff,Huawei Japan filing to METI 2022,"2,450",+330 % from 2015,High,Modest growth amid scrutiny,2022,China,,,,
6,Alibaba Cloud Japan capex + data centers,Alibaba Cloud Japan TSE filing 2022,¥95 billion + 7 centers,+692 % capex vs 2016,High,Third Tokyo center launch (Dec 2022),2022,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2022 disclosures,$22.1 billion (SenseTime + ByteDance),"+1,070 % from 2015",High,AI bets intensify pre-CHIPS Act,2022,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2022,"41,234",+709 % from 2015,High,Record hires amid labor shortages,2022,China,,,,
9,Japan-China AI joint labs / MoUs signed,METI bilateral agreement archive 2022,32 new agreements,+700 % from 2016,High,IP WG meetings + AI focus,2022,China,,,,
10,Diet mentions “China AI cooperation” OR “China AI risk”,National Diet Library full-text search 2022,456 mentions (cooperation: 267 / risk: 189),"+5,600 % from 2015",High,Risk +21 % YoY (CHIPS + EU ties),2022,China,,,,
1,Total national R&D spend,METI Survey of R&D 2022 p.14,¥20.70 trillion,+4.9 %,High,Post-COVID peak,2022,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2022 + NEDO,¥620 billion,+258 %,High,Sovereignty focus amid global race,2022,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2022 filing year,28 families,+133 %,High,-33 % YoY (war freeze),2022,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2022 Table 4-2,¥0.02 trillion,0 %,High,-33 % YoY (sanctions block),2022,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2022,892,+96 %,High,-18 % YoY (visa bans),2022,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2022,65 staff,+333 %,High,-26 % YoY (exodus),2022,Russia,,,,
7,Rosatom-Toshiba AI lab activity,Rosatom Annual Report 2022 + Toshiba FY2022,0 active projects,-100 %,High,Full termination (G7 sanctions),2022,Russia,,,,
8,Sberbank Japan AI fintech,Sberbank Annual Report 2022,0 pilots,-100 %,High,Complete withdrawal from Europe/Asia ops,2022,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral agreement archive 2022,0 new agreements,-100 % from 2016,High,No summits; ties severed,2022,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2022,245 mentions (cooperation: 45 / risk: 200),"+4,800 % from 2015",High,Risk +80 % YoY (invasion sanctions),2022,Russia,,,,
,,,,,,,2022,Russia,,,,
Key Takeaways:,,,,,,,2022,Russia,,,,
JP-RU joint AI patents: +133 % (ongoing drop),,,,,,,2022,Russia,,,,
Russia FDI in info/comms: Back to baseline (total freeze),,,,,,,2022,Russia,,,,
Yandex Japan staff: +333 % (sharp contraction),,,,,,,2022,Russia,,,,
"All labs/pilots terminated (Rosatom, Sberbank)",,,,,,,2022,Russia,,,,
Diet risk mentions dominate heavily (200 vs 45 cooperation),,,,,,,2022,Russia,,,,
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only. Independent of Russia/China vectors—Saudi-specific ties only (e.g., PIF Vision Fund, Aramco pilots, KAUST exchanges). 2022: U.S. CHIPS Act (Aug 2022); Japan-Saudi Vision 2030 Ministerial (Nov 2022) signs 10 MoUs; G7 Hiroshima AI prep. Vectors stable—Vision Fund + SDAIA expansions hold amid decoupling."
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,#
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Metric / Event (2022)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Primary Source
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Exact Figure
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,2015 → 2022 Change
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Confidence
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Notes
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,1
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,METI Survey of R&D 2022 p.14
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,¥20.70 trillion
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+4.9 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Post-COVID peak
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,2
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2022)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,METI AI Strategy 2022 + NEDO Annual Report
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,¥620 billion
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+258 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Hiroshima AI prep + sovereignty
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,3
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,WIPO PATENTSCOPE 2022 filing year (JP+SA co-applicants)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,58 families
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"+2,800 %"
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,SDAIA-NEC biometrics + Aramco analytics
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,4
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,JETRO FDI Statistics 2022 Table 4-2
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,¥0.43 trillion
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+617 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Vision Fund + non-manufacturing lead (finance/insurance up)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,5
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,MIC Wage Structure Survey 2022 (foreign workers breakdown)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"1,900"
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+217 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Vision 2030 exchanges; private establishments ≥5 employees
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,6
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,SoftBank Group FY2022 disclosures + PIF filings
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,$22.1 billion
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"+3,500 % YoY"
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,SenseTime/ByteDance follow-ons; $17.7B loss offset
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,7
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Aramco Annual Report 2022 + METI bilateral
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,3 new MoUs
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+50 % YoY
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Supply-chain AI; hydrogen pilots
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,8
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,KAUST Annual Report 2022 + Tokyo Univ filings
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,18 new programs
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+20 % YoY
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Virtual AI ethics/research; 5 new industry ties
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,9
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,METI bilateral agreement archive 2022
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,10 new agreements
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,+25 % YoY
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Vision 2030 Ministerial (Nov 2022); 7th meeting
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,10
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,National Diet Library full-text search 2022
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,156 mentions (cooperation: 140 / risk: 16)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"+5,100 %"
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,High
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Cooperation dominates; Vision 2030 Ministerial buzz
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Key Takeaways 2015 → 2022
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,"JP-SA joint AI patents: +2,800 %"
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Saudi FDI in info/comms: +617 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Saudi IT hires: +217 %
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,PIF-SoftBank $22.1B AI
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Aramco 3 new MoUs
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,KAUST 18 programs
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,10 new AI/digital MoUs (Ministerial)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,Diet cooperation mentions surge (140 vs 16 risk)
,,,,,,,2022,Saudi Arabia,2022.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits. 2022: Stable growth—Vision Fund/SDAIA hold amid CHIPS Act.
1,Total national R&D spend,METI Survey of R&D 2023 p.14,¥20.95 trillion,+6.1 % from 2015,High,Post-COVID peak,2023,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2023),METI AI Strategy 2023 + NEDO Annual Report,¥725 billion,+316 % from 2015,High,Includes ¥72.5B AI supercomputer fund,2023,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2023 filing year,"1,450 families",+867 % from 2015,High,Growth slows but holds,2023,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2023 Table 4-2,¥0.46 trillion,+360 % from 2015,High,Stable; part of total 50.5T FDI stock,2023,China,,,,
5,Huawei Japan R&D staff,Huawei Japan filing to METI 2023,"2,600",+400 % from 2015,High,Modest growth post-bans,2023,China,,,,
6,Alibaba Cloud Japan capex + data centers,Alibaba Cloud Japan TSE filing 2023,¥110 billion + 8 centers,+817 % capex vs 2016,High,New Tokyo/Osaka expansions,2023,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2023 disclosures,$25.3 billion (SenseTime + ByteDance),"+1,400 % from 2015",High,AI bets amid $16B debt talks,2023,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2023,"48,912",+879 % from 2015,High,Record amid shortages,2023,China,,,,
