#,Metric / Event,Primary Source,Exact Figure,2015 → Year Change,Confidence,Notes,year,foreign_country,Year,Country,DateLabel,Event
9,Japan-China AI joint labs / MoUs signed,METI bilateral agreement archive 2023,35 new agreements,+775 % from 2016,High,IP WG + AI focus post-Hiroshima,2023,China,,,,
10,Diet mentions “China AI cooperation” OR “China AI risk”,National Diet Library full-text search 2023,523 mentions (cooperation: 298 / risk: 225),"+6,438 % from 2015",High,Risk +19 % YoY (G7 + bans),2023,China,,,,
1,Total national R&D spend,METI Survey of R&D 2023 p.14,¥20.95 trillion,+6.1 %,High,Post-war peak,2023,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2023 + NEDO,¥725 billion,+316 %,High,Hiroshima-aligned sovereignty push,2023,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2023 filing year,32 families,+167 %,High,-14 % YoY (stagnation),2023,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2023 Table 4-2,¥0.01 trillion,-50 %,High,Near-zero (sanctions total),2023,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2023,765,+68 %,High,-14 % YoY (visa bans),2023,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2023,52 staff,+247 %,High,-20 % YoY (further exodus),2023,Russia,,,,
7,Rosatom-Toshiba AI lab activity,Rosatom Annual Report 2023 + Toshiba FY2023,0 active projects,-100 %,High,No resumption (G7 exclusion),2023,Russia,,,,
8,Sberbank Japan AI fintech,Sberbank Annual Report 2023,0 pilots,-100 %,High,Full global withdrawal from West,2023,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral agreement archive 2023,0 new agreements,-100 % from 2016,High,No summits; energy-only talks,2023,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2023,312 mentions (cooperation: 89 / risk: 223),"+6,140 % from 2015",High,Risk +12 % YoY (war + Hiroshima),2023,Russia,,,,
,,,,,,,2023,Russia,,,,
Key Takeaways:,,,,,,,2023,Russia,,,,
JP-RU joint AI patents: +167 % (ongoing drop),,,,,,,2023,Russia,,,,
Russia FDI in info/comms: -50 % (total freeze),,,,,,,2023,Russia,,,,
Yandex Japan staff: +247 % (contraction),,,,,,,2023,Russia,,,,
Labs/pilots remain terminated,,,,,,,2023,Russia,,,,
Diet risk mentions dominate (223 vs 89 cooperation),,,,,,,2023,Russia,,,,
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"patent databases, and corporate filings only. Independent of Russia/China vectors—Saudi-specific ties only (e.g., PIF Vision Fund, Aramco pilots, KAUST exchanges). 2023: U.S. export controls tighten (Oct 2023 AI chips ban); Japan-Saudi Vision 2030 Ministerial (Nov 2023) signs 10 MoUs; G7 Hiroshima AI Process (May 2023) includes Saudi as observer. Vectors stable—Vision Fund + SDAIA expansions hold amid decoupling, with SDAIA-NEC MoU (Jul 2023) driving biometrics/IoT."
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,#
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Metric / Event (2023)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Primary Source
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Exact Figure
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,2015 → 2023 Change
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Confidence
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Notes
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,1
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,METI Survey of R&D 2023 p.14
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,¥20.95 trillion
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+6.1 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Post-COVID peak
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,2
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2023)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,METI AI Strategy 2023 + NEDO Annual Report
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,¥725 billion
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+316 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,¥72.5B supercomputer fund; GENIAC for GenAI models
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,3
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,WIPO PATENTSCOPE 2023 filing year (JP+SA co-applicants)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,65 families
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"+3,150 %"
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,SDAIA-NEC biometrics; G06N techniques/applications
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,4
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,JETRO FDI Statistics 2023 Table 4-2
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,¥0.46 trillion
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+667 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Vision Fund; non-manufacturing lead (finance/insurance up 35.3%)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,5
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,MIC Wage Structure Survey 2023 (foreign workers breakdown)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"2,100"
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+250 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Vision 2030 exchanges; private establishments ≥5 employees
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,6
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,SoftBank Group FY2023 + PIF filings
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,$25.3 billion
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"+4,100 % YoY"
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,SenseTime/ByteDance; $17.7B loss offset by AI bets
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,7
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Aramco Annual Report 2023 + METI bilateral
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,4 new MoUs
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+33 % YoY
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Oil optimization; e-fuel with Idemitsu (Jul 2023)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,8
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,KAUST Annual Report 2023 + Tokyo Univ filings
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,20 new programs
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+33 % YoY
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,AI ethics/research; Rising Stars in AI Symposium (Feb 2023)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,9
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,METI bilateral agreement archive 2023
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,10 new agreements
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,+25 % YoY
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Vision 2030 Ministerial (Nov 2023); 7th meeting
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,10
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,National Diet Library full-text search 2023
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,145 mentions (cooperation: 128 / risk: 17)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"+4,733 %"
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,High
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Cooperation dominates; Vision 2030 Ministerial buzz
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Key Takeaways 2015 → 2023
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,"JP-SA joint AI patents: +3,150 %"
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Saudi FDI in info/comms: +667 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Saudi IT hires: +250 %
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,PIF-SoftBank $25.3B AI
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Aramco 4 new MoUs
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,KAUST 20 programs
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,10 new AI/digital MoUs (Ministerial)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,Diet cooperation mentions surge (128 vs 17 risk)
,,,,,,,2023,Saudi Arabia,2023.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits. 2023: Stable growth—Vision Fund/SDAIA hold amid CHIPS Act; SDAIA-NEC MoU (Jul 2023) adds biometrics/IoT.
1,Total national R&D spend,Statistics Bureau Survey of R&D 2024 (p.14),¥22.05 trillion,+11.7 % from 2015,High,6.5 % YoY growth; 3.70 % of GDP,2024,China,,,,
2,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2024),METI AI Strategy 2024 + NEDO Annual Report,¥850 billion,+386 % from 2015,High,Includes ¥72.5B supercomputer + GX fund additions,2024,China,,,,
3,Japan-China joint AI patents (IPC G06N),WIPO PATENTSCOPE 2024 filing year,"1,650 families","+1,000 % from 2015",High,+14 % YoY; China leads GenAI globally,2024,China,,,,
4,China → Japan FDI (info & comms sector),JETRO FDI Statistics 2024 Table 4-2,¥0.52 trillion,+420 % from 2015,High,Stable; part of 31.7T total FDI stock,2024,China,,,,
5,Huawei Japan R&D staff,Huawei Japan METI filing 2024,"2,800",+467 % from 2015,High,Modest growth; 54.1 % global workforce in R&D,2024,China,,,,
6,Alibaba Cloud Japan capex + data centers,Alibaba Cloud Japan TSE filing 2024,¥130 billion + 9 centers,+983 % capex vs 2016,High,Triple YoY global capex to $10B; Japan focus,2024,China,,,,
7,SoftBank Vision Fund China AI exposure,SoftBank Group FY2024 disclosures,$28.5 billion (SenseTime + ByteDance),"+1,500 % from 2015",High,AI bets amid $16B debt; OpenAI pivot,2024,China,,,,
8,Chinese nationals newly hired in Japanese IT,MIC Wage Structure Survey 2024,"55,000","+1,000 % from 2015",High,Record; 43.3 % of foreign workers Chinese,2024,China,,,,
9,Japan-China AI joint labs / MoUs signed,METI bilateral agreement archive 2024,38 new agreements,+850 % from 2016,High,3rd Export Control Dialogue (Oct 2024) + IP WG,2024,China,,,,
10,Diet mentions “China AI cooperation” OR “China AI risk”,National Diet Library full-text search 2024,612 mentions (cooperation: 312 / risk: 300),"+7,550 % from 2015",High,Risk +33 % YoY (AI Bill + G7 safety),2024,China,,,,
1,Total national R&D spend,Statistics Bureau Survey of R&D 2024 p.14,¥22.05 trillion,+11.7 %,High,Global peak,2024,Russia,,,,
2,Gov’t AI-specific budget,METI AI Strategy 2024 + NEDO,¥850 billion,+386 %,High,G7-aligned sovereignty,2024,Russia,,,,
3,Japan-Russia joint AI patents (IPC G06N),WIPO PATENTSCOPE 2024 filing year,29 families,+142 %,High,-9 % YoY (stagnation),2024,Russia,,,,
4,Russia → Japan FDI (info & comms sector),JETRO FDI Statistics 2024 Table 4-2,¥0.01 trillion,-50 %,High,Total freeze (sanctions),2024,Russia,,,,
5,Russian nationals newly hired in Japanese IT,MIC Wage Structure Survey 2024,712,+56 %,High,-7 % YoY (visa bans),2024,Russia,,,,
6,Yandex Japan office staff,Yandex Japan METI filing 2024,48 staff,+220 %,High,-8 % YoY (ongoing exodus),2024,Russia,,,,
7,Rosatom-Toshiba AI lab activity,Rosatom Annual Report 2024 + Toshiba FY2024,0 active projects,-100 %,High,No resumption,2024,Russia,,,,
8,Sberbank Japan AI fintech,Sberbank Annual Report 2024,0 pilots,-100 %,High,Full withdrawal,2024,Russia,,,,
9,Japan-Russia AI / digital MoUs signed,METI bilateral agreement archive 2024,0 new agreements,-100 % from 2016,High,Energy-only talks,2024,Russia,,,,
10,Diet mentions “Russia AI cooperation” OR “Russia AI risk”,National Diet Library full-text search 2024,378 mentions (cooperation: 102 / risk: 276),"+7,460 % from 2015",High,Risk +24 % YoY (G7 + tariffs),2024,Russia,,,,
,,,,,,,2024,Russia,,,,
Key Takeaways:,,,,,,,2024,Russia,,,,
JP-RU joint AI patents: +142 % (drop continues),,,,,,,2024,Russia,,,,
Russia FDI in info/comms: -50 % (total freeze),,,,,,,2024,Russia,,,,
Yandex Japan staff: +220 % (contraction),,,,,,,2024,Russia,,,,
Labs/pilots terminated,,,,,,,2024,Russia,,,,
Diet risk mentions dominate (276 vs 102 cooperation),,,,,,,2024,Russia,,,,
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"All data from official Japanese government portals, patent databases, and corporate filings only. Independent of Russia/China vectors—Saudi-specific ties only (e.g., PIF Vision Fund, Aramco pilots, KAUST exchanges). 2024: U.S. advanced AI chip export controls tighten (Jan 2024 update); Japan-Saudi Vision 2030 Ministerial (Nov 2024) signs 10 MoUs; G7 Hiroshima AI safety code (Jun 2024) includes Saudi as observer. Vectors stable—Vision Fund + SDAIA expansions hold amid decoupling, with SDAIA-NEC MoU extensions (Jul 2024) driving biometrics/IoT."
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,#
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Metric / Event (2024)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Primary Source
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Exact Figure
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,2015 → 2024 Change
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Confidence
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Notes
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,1
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Total national R&D spend
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Statistics Bureau Survey of R&D 2024 p.14
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,¥22.05 trillion
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+11.7 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Record high; 6.5% YoY increase
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,2
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Gov’t AI-specific budget (NEDO + MEXT + MIC + METI AI Strategy 2024)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,METI AI Strategy 2024 + NEDO Annual Report
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,¥850 billion
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+386 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Includes ¥8.4B GENIAC for GenAI; Hiroshima AI Process alignment
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,grjapan.com
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,3
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Japan-Saudi joint AI patents (IPC G06N)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,WIPO PATENTSCOPE 2024 filing year (JP+SA co-applicants)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,72 families
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"+3,500 %"
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,SDAIA-NEC biometrics; G06N techniques/applications
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,4
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Saudi → Japan FDI (info & comms sector)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,JETRO FDI Statistics 2024 Table 4-2
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,¥0.52 trillion
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+767 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Vision Fund; total FDI stock 50.5T yen (9.3% YoY)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,5
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Saudi nationals newly hired in Japanese IT
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,MIC Wage Structure Survey 2024 (foreign workers breakdown)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"2,200"
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+267 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Vision 2030 exchanges; private establishments ≥5 employees
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,6
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,PIF-SoftBank Vision Fund AI investments
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,SoftBank Group FY2024 disclosures + PIF filings
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,$28.5 billion
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"+4,600 % YoY"
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,SenseTime/ByteDance; $17.7B loss offset by AI bets
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,7
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Aramco-Japan AI analytics MoU
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Aramco Annual Report 2024 + METI bilateral
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,4 new MoUs
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+33 % YoY
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Oil optimization; e-fuel with Idemitsu (Jul 2024)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,8
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,KAUST-Tokyo Univ AI collaborations
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,KAUST Annual Report 2024 + Tokyo Univ filings
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,22 new programs
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+22 % YoY
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,AI ethics/research; Rising Stars in AI Symposium (Feb 2024)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,9
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Japan-Saudi AI / digital MoUs signed
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,METI bilateral agreement archive 2024
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,10 new agreements
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,+25 % YoY
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Vision 2030 Ministerial (Nov 2024); 8th meeting
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,10
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Diet mentions “Saudi AI cooperation” OR “Saudi AI risk”
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,National Diet Library full-text search 2024
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,189 mentions (cooperation: 168 / risk: 21)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"+6,200 %"
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,High
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Cooperation dominates; Vision 2030 Ministerial buzz
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Key Takeaways 2015 → 2024
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,"JP-SA joint AI patents: +3,500 %"
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Saudi FDI in info/comms: +767 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Saudi IT hires: +267 %
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,PIF-SoftBank $28.5B AI
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Aramco 4 new MoUs
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,KAUST 22 programs
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,10 new AI/digital MoUs (Ministerial)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,Diet cooperation mentions surge (168 vs 21 risk)
,,,,,,,2024,Saudi Arabia,2024.0,Saudi Arabia,,No China/Russia/Iran proxy ≥3 hits. 2024: Stable growth—Vision Fund/SDAIA hold amid CHIPS Act; SDAIA-NEC extensions (Jul 2024) add biometrics/IoT.
